specimen,CST I-A,CST I-B,CST II,CST III-A,CST III-B,CST IV-A,CST IV-B,CST IV-C0,CST IV-C2,CST IV-C4,CST V
A00029-25,0,0,0,0,0,0,0,1,0,0,0
A00029-26,0,0,0,0,0,0,0,1,0,0,0
A00029-28,0,0,0,0,0,0,0,1,0,0,0
A00029-35,0,0,1,0,0,0,0,0,0,0,0
A00030-22,0,0,1,0,0,0,0,0,0,0,0
A00030-31,0,0,1,0,0,0,0,0,0,0,0
A00031-06,0,0,0,1,0,0,0,0,0,0,0
A00031-09,0,0,0,1,0,0,0,0,0,0,0
A00031-30,0,0,0,1,0,0,0,0,0,0,0
A00032-04,0,0,0,1,0,0,0,0,0,0,0
A00032-06,0,0,0,1,0,0,0,0,0,0,0
A00032-12,0,0,0,1,0,0,0,0,0,0,0
A00032-24,0,0,0,1,0,0,0,0,0,0,0
A00032-30,0,0,0,1,0,0,0,0,0,0,0
A00033-01,0,0,1,0,0,0,0,0,0,0,0
A00033-14,0,0,1,0,0,0,0,0,0,0,0
A00033-17,0,0,1,0,0,0,0,0,0,0,0
A00033-19,0,0,1,0,0,0,0,0,0,0,0
A00033-20,0,0,1,0,0,0,0,0,0,0,0
A00034-03,0,0,1,0,0,0,0,0,0,0,0
A00034-04,0,0,1,0,0,0,0,0,0,0,0
A00034-07,0,0,0,0,0,0,0,1,0,0,0
A00034-08,0,0,1,0,0,0,0,0,0,0,0
A00034-09,0,0,1,0,0,0,0,0,0,0,0
A00034-10,0,0,1,0,0,0,0,0,0,0,0
A00034-16,0,0,0,1,0,0,0,0,0,0,0
A00034-19,0,0,0,1,0,0,0,0,0,0,0
A00034-20,0,0,0,1,0,0,0,0,0,0,0
A00034-29,0,0,0,1,0,0,0,0,0,0,0
A00034-33,0,0,0,1,0,0,0,0,0,0,0
A00035-03,0,0,0,0,0,0,1,0,0,0,0
A00035-08,0,0,0,0,0,0,1,0,0,0,0
A00035-09,0,0,0,0,0,0,1,0,0,0,0
A00035-10,0,0,0,0,0,0,1,0,0,0,0
A00035-12,0,0,0,0,0,0,1,0,0,0,0
A00035-16,0,0,0,0,0,0,1,0,0,0,0
A00036-02,0,0,0,0,0,0,0,1,0,0,0
A00036-03,0,0,0,0,0,0,0,1,0,0,0
A00036-05,0,0,0,0,0,0,0,1,0,0,0
A00036-08,0,0,1,0,0,0,0,0,0,0,0
A00036-11,0,0,1,0,0,0,0,0,0,0,0
A00036-19,0,0,0,0,0,1,0,0,0,0,0
A00036-21,0,0,0,0,0,0,0,1,0,0,0
A00036-26,0,0,0,0,0,0,0,1,0,0,0
A00037-02,0,0,0,0,1,0,0,0,0,0,0
A00037-04,0,0,0,1,0,0,0,0,0,0,0
A00037-06,0,0,0,1,0,0,0,0,0,0,0
A00037-07,0,0,0,1,0,0,0,0,0,0,0
A00037-10,0,0,1,0,0,0,0,0,0,0,0
A00037-15,0,0,0,1,0,0,0,0,0,0,0
A00038-01,0,0,0,0,0,0,1,0,0,0,0
A00038-03,0,0,0,0,0,0,1,0,0,0,0
A00039-02,0,0,0,0,0,0,1,0,0,0,0
A00039-07,0,0,0,0,0,1,0,0,0,0,0
A00039-08,0,0,0,0,0,0,1,0,0,0,0
A00039-09,0,0,0,0,0,0,1,0,0,0,0
A00039-10,0,0,0,0,0,0,1,0,0,0,0
A00039-12,0,0,0,0,0,0,1,0,0,0,0
B00001-01,1,0,0,0,0,0,0,0,0,0,0
B00003-01,0,0,0,1,0,0,0,0,0,0,0
B00004-01,0,0,0,0,0,0,0,0,0,0,1
B00005-01,1,0,0,0,0,0,0,0,0,0,0
B00006-01,1,0,0,0,0,0,0,0,0,0,0
B00007-01,0,0,0,0,0,0,0,0,0,0,1
B00008-01,1,0,0,0,0,0,0,0,0,0,0
B00009-01,1,0,0,0,0,0,0,0,0,0,0
B00010-01,0,0,0,0,0,0,0,0,0,0,1
B00011-01,0,0,0,0,0,0,0,0,0,0,1
B00012-01,0,0,1,0,0,0,0,0,0,0,0
B00013-01,0,0,0,1,0,0,0,0,0,0,0
B00014-01,0,0,0,0,0,0,0,0,1,0,0
B00016-01,0,0,0,0,0,0,0,0,0,0,1
B00017-01,1,0,0,0,0,0,0,0,0,0,0
B00018-01,0,0,0,1,0,0,0,0,0,0,0
B00019-01,0,0,0,1,0,0,0,0,0,0,0
B00021-01,0,0,0,1,0,0,0,0,0,0,0
B00024-01,0,0,0,0,0,0,1,0,0,0,0
B00028-01,0,0,0,1,0,0,0,0,0,0,0
B00029-01,0,0,0,1,0,0,0,0,0,0,0
B00031-01,0,0,0,0,0,0,0,0,0,0,1
B00033-01,0,0,1,0,0,0,0,0,0,0,0
B00034-01,1,0,0,0,0,0,0,0,0,0,0
B00035-01,0,0,1,0,0,0,0,0,0,0,0
B00036-01,1,0,0,0,0,0,0,0,0,0,0
B00037-01,0,0,1,0,0,0,0,0,0,0,0
B00038-01,1,0,0,0,0,0,0,0,0,0,0
B00040-01,0,0,1,0,0,0,0,0,0,0,0
B00041-01,0,0,0,0,0,0,0,1,0,0,0
B00042-01,0,1,0,0,0,0,0,0,0,0,0
B00043-01,0,0,0,0,0,0,1,0,0,0,0
B00045-01,0,0,0,0,0,0,0,0,0,0,1
C00001-01,0,0,0,0,1,0,0,0,0,0,0
C00001-02,0,0,0,0,1,0,0,0,0,0,0
C00001-03,0,0,0,0,1,0,0,0,0,0,0
C00002-01,0,0,0,0,1,0,0,0,0,0,0
C00003-01,0,0,0,0,0,0,0,0,0,0,1
C00003-02,0,1,0,0,0,0,0,0,0,0,0
C00004-01,0,0,0,1,0,0,0,0,0,0,0
C00004-02,0,0,0,1,0,0,0,0,0,0,0
C00005-01,0,0,1,0,0,0,0,0,0,0,0
C00005-02,0,0,0,0,1,0,0,0,0,0,0
C00006-01,0,0,0,1,0,0,0,0,0,0,0
C00007-01,0,0,0,1,0,0,0,0,0,0,0
C00008-01,0,1,0,0,0,0,0,0,0,0,0
C00008-02,0,1,0,0,0,0,0,0,0,0,0
C00009-01,0,0,0,1,0,0,0,0,0,0,0
C00010-01,0,0,0,1,0,0,0,0,0,0,0
C00010-02,0,0,0,0,1,0,0,0,0,0,0
C00011-01,0,0,0,0,0,0,0,1,0,0,0
C00011-02,0,0,0,0,0,0,0,1,0,0,0
C00012-02,0,0,0,1,0,0,0,0,0,0,0
C00013-01,0,1,0,0,0,0,0,0,0,0,0
C00014-01,0,0,0,0,1,0,0,0,0,0,0
C00014-02,0,0,0,0,1,0,0,0,0,0,0
C00015-01,0,0,0,0,0,0,0,0,0,0,1
C00016-01,0,0,0,1,0,0,0,0,0,0,0
C00017-01,0,1,0,0,0,0,0,0,0,0,0
C00018-01,1,0,0,0,0,0,0,0,0,0,0
C00019-01,0,0,0,1,0,0,0,0,0,0,0
C00020-01,0,0,0,0,0,0,0,0,1,0,0
C00020-02,0,0,0,0,0,0,0,0,1,0,0
C00021-01,0,0,0,1,0,0,0,0,0,0,0
C00022-01,0,0,0,1,0,0,0,0,0,0,0
C00023-01,0,0,0,1,0,0,0,0,0,0,0
C00024-01,0,0,0,1,0,0,0,0,0,0,0
C00026-01,1,0,0,0,0,0,0,0,0,0,0
C00027-01,0,0,0,0,1,0,0,0,0,0,0
C00028-01,0,0,0,1,0,0,0,0,0,0,0
C00028-02,0,0,0,0,1,0,0,0,0,0,0
C00029-01,1,0,0,0,0,0,0,0,0,0,0
C00029-02,0,0,0,0,0,0,0,1,0,0,0
C00030-01,0,0,0,1,0,0,0,0,0,0,0
C00031-01,0,0,0,1,0,0,0,0,0,0,0
C00031-04,0,0,0,1,0,0,0,0,0,0,0
C00031-05,0,0,0,1,0,0,0,0,0,0,0
C00032-01,0,0,0,0,1,0,0,0,0,0,0
C00033-01,0,0,0,0,0,0,0,1,0,0,0
C00034-01,0,0,0,0,0,0,0,1,0,0,0
C00035-01,0,0,0,0,1,0,0,0,0,0,0
C00036-01,0,0,0,1,0,0,0,0,0,0,0
C00036-02,0,0,0,0,0,0,1,0,0,0,0
C00037-01,0,0,1,0,0,0,0,0,0,0,0
C00038-01,0,0,0,0,1,0,0,0,0,0,0
C00039-02,1,0,0,0,0,0,0,0,0,0,0
C00040-01,1,0,0,0,0,0,0,0,0,0,0
C00040-02,1,0,0,0,0,0,0,0,0,0,0
C00041-01,0,0,0,1,0,0,0,0,0,0,0
C00042-01,0,0,0,0,0,0,0,1,0,0,0
C00042-02,0,0,0,0,0,0,0,1,0,0,0
C00043-01,1,0,0,0,0,0,0,0,0,0,0
C00043-02,1,0,0,0,0,0,0,0,0,0,0
C00044-01,0,0,0,1,0,0,0,0,0,0,0
C00045-01,0,1,0,0,0,0,0,0,0,0,0
C00046-01,0,0,1,0,0,0,0,0,0,0,0
C00046-02,0,0,1,0,0,0,0,0,0,0,0
C00047-01,0,0,0,1,0,0,0,0,0,0,0
C00048-01,0,0,0,0,0,0,0,1,0,0,0
C00049-01,0,0,0,0,1,0,0,0,0,0,0
C00050-01,0,0,0,0,1,0,0,0,0,0,0
C00051-01,0,1,0,0,0,0,0,0,0,0,0
C00052-01,0,0,0,1,0,0,0,0,0,0,0
C00053-01,0,0,0,1,0,0,0,0,0,0,0
C00054-01,1,0,0,0,0,0,0,0,0,0,0
C00054-02,1,0,0,0,0,0,0,0,0,0,0
C00054-03,1,0,0,0,0,0,0,0,0,0,0
C00055-01,0,0,0,0,0,0,0,1,0,0,0
C00056-01,0,0,0,0,1,0,0,0,0,0,0
C00056-02,0,0,0,0,1,0,0,0,0,0,0
C00057-01,0,0,0,1,0,0,0,0,0,0,0
C00058-01,0,0,0,0,1,0,0,0,0,0,0
C00059-01,0,0,0,1,0,0,0,0,0,0,0
C00059-02,0,0,0,1,0,0,0,0,0,0,0
C00060-01,0,0,1,0,0,0,0,0,0,0,0
C00061-01,0,0,1,0,0,0,0,0,0,0,0
C00061-02,0,0,1,0,0,0,0,0,0,0,0
C00061-03,0,0,1,0,0,0,0,0,0,0,0
C00061-04,0,0,1,0,0,0,0,0,0,0,0
C00062-01,0,0,0,1,0,0,0,0,0,0,0
C00062-02,0,0,0,0,1,0,0,0,0,0,0
C00062-03,0,0,0,0,1,0,0,0,0,0,0
C00063-01,0,0,0,1,0,0,0,0,0,0,0
C00064-01,0,0,0,1,0,0,0,0,0,0,0
C00066-01,0,0,0,0,0,0,0,0,0,0,1
C00067-01,0,0,0,0,0,0,0,0,0,0,1
C00068-01,0,0,0,0,0,0,0,0,0,0,1
C00069-01,0,0,1,0,0,0,0,0,0,0,0
C00070-01,0,0,1,0,0,0,0,0,0,0,0
C00072-01,0,0,1,0,0,0,0,0,0,0,0
C00073-01,0,0,0,1,0,0,0,0,0,0,0
C00074-01,1,0,0,0,0,0,0,0,0,0,0
C00075-01,0,1,0,0,0,0,0,0,0,0,0
C00076-01,0,0,0,1,0,0,0,0,0,0,0
C00077-01,1,0,0,0,0,0,0,0,0,0,0
C00078-01,0,0,0,1,0,0,0,0,0,0,0
C00079-01,1,0,0,0,0,0,0,0,0,0,0
C00080-01,1,0,0,0,0,0,0,0,0,0,0
C00081-01,0,0,0,1,0,0,0,0,0,0,0
C00082-01,0,1,0,0,0,0,0,0,0,0,0
C00084-01,0,0,0,0,1,0,0,0,0,0,0
C00086-01,1,0,0,0,0,0,0,0,0,0,0
C00086-02,0,1,0,0,0,0,0,0,0,0,0
C00087-01,0,1,0,0,0,0,0,0,0,0,0
C00088-01,1,0,0,0,0,0,0,0,0,0,0
C00089-01,0,0,0,0,1,0,0,0,0,0,0
C00090-01,0,0,0,1,0,0,0,0,0,0,0
C00091-01,0,0,0,1,0,0,0,0,0,0,0
C00092-01,0,0,0,0,1,0,0,0,0,0,0
C00093-01,0,0,0,1,0,0,0,0,0,0,0
C00094-01,0,0,0,0,0,0,0,1,0,0,0
C00095-01,0,0,0,1,0,0,0,0,0,0,0
C00096-01,0,0,0,1,0,0,0,0,0,0,0
C00097-01,0,0,0,1,0,0,0,0,0,0,0
C00099-01,0,0,0,0,0,0,1,0,0,0,0
C00100-01,1,0,0,0,0,0,0,0,0,0,0
C00101-01,0,0,0,0,1,0,0,0,0,0,0
C00102-01,0,0,0,0,0,0,0,0,0,0,1
C00103-01,0,0,0,0,1,0,0,0,0,0,0
C00104-01,0,0,0,0,1,0,0,0,0,0,0
C00105-01,1,0,0,0,0,0,0,0,0,0,0
C00105-02,1,0,0,0,0,0,0,0,0,0,0
C00105-03,0,1,0,0,0,0,0,0,0,0,0
C00106-01,0,1,0,0,0,0,0,0,0,0,0
C00107-01,1,0,0,0,0,0,0,0,0,0,0
C00108-01,0,0,0,0,0,0,0,1,0,0,0
C00109-01,0,0,0,0,1,0,0,0,0,0,0
C00110-01,0,0,0,1,0,0,0,0,0,0,0
C00111-01,0,0,0,0,0,0,1,0,0,0,0
C00112-01,0,1,0,0,0,0,0,0,0,0,0
C00113-01,0,0,0,0,1,0,0,0,0,0,0
C00113-02,0,0,0,0,1,0,0,0,0,0,0
C00114-01,0,1,0,0,0,0,0,0,0,0,0
C00114-02,0,0,0,0,0,0,0,1,0,0,0
C00115-01,0,0,0,1,0,0,0,0,0,0,0
C00115-03,0,0,0,1,0,0,0,0,0,0,0
C00116-01,0,0,0,0,1,0,0,0,0,0,0
D00001-01,0,0,0,1,0,0,0,0,0,0,0
D00002-02,1,0,0,0,0,0,0,0,0,0,0
D00002-03,1,0,0,0,0,0,0,0,0,0,0
D00003-01,0,0,0,1,0,0,0,0,0,0,0
D00004-01,0,1,0,0,0,0,0,0,0,0,0
D00004-02,0,0,0,0,1,0,0,0,0,0,0
D00004-03,0,0,0,0,1,0,0,0,0,0,0
D00005-01,1,0,0,0,0,0,0,0,0,0,0
D00006-01,0,0,0,1,0,0,0,0,0,0,0
D00006-02,0,0,0,0,1,0,0,0,0,0,0
D00006-04,0,0,0,0,0,0,1,0,0,0,0
D00006-05,0,0,0,1,0,0,0,0,0,0,0
D00007-01,0,0,0,0,0,0,0,1,0,0,0
D00008-01,0,0,1,0,0,0,0,0,0,0,0
D00008-02,1,0,0,0,0,0,0,0,0,0,0
D00009-01,0,0,0,0,0,0,0,0,0,0,1
D00011-01,0,0,1,0,0,0,0,0,0,0,0
D00012-01,0,1,0,0,0,0,0,0,0,0,0
D00013-03,1,0,0,0,0,0,0,0,0,0,0
D00014-01,0,0,0,1,0,0,0,0,0,0,0
D00015-01,0,0,0,0,0,0,1,0,0,0,0
D00015-02,0,0,0,0,0,0,0,0,0,0,1
D00015-03,0,0,0,0,0,0,0,0,0,0,1
D00015-04,0,0,0,0,0,0,0,0,0,0,1
D00016-01,0,0,1,0,0,0,0,0,0,0,0
D00016-02,0,0,1,0,0,0,0,0,0,0,0
D00016-03,0,0,1,0,0,0,0,0,0,0,0
D00017-05,0,0,0,0,0,0,0,1,0,0,0
D00018-01,0,0,1,0,0,0,0,0,0,0,0
D00018-02,0,0,1,0,0,0,0,0,0,0,0
D00018-03,0,0,1,0,0,0,0,0,0,0,0
D00018-04,0,0,1,0,0,0,0,0,0,0,0
D00019-03,1,0,0,0,0,0,0,0,0,0,0
D00019-04,1,0,0,0,0,0,0,0,0,0,0
D00020-01,1,0,0,0,0,0,0,0,0,0,0
D00020-02,1,0,0,0,0,0,0,0,0,0,0
D00021-01,1,0,0,0,0,0,0,0,0,0,0
D00021-02,0,0,0,0,0,0,1,0,0,0,0
D00021-03,0,0,0,0,0,0,1,0,0,0,0
D00021-05,0,0,0,1,0,0,0,0,0,0,0
D00021-06,0,0,0,0,0,0,1,0,0,0,0
D00021-07,0,0,0,0,0,0,1,0,0,0,0
D00021-08,0,0,0,0,0,0,1,0,0,0,0
D00022-01,1,0,0,0,0,0,0,0,0,0,0
D00022-02,1,0,0,0,0,0,0,0,0,0,0
D00022-03,0,0,1,0,0,0,0,0,0,0,0
D00023-02,1,0,0,0,0,0,0,0,0,0,0
D00024-01,1,0,0,0,0,0,0,0,0,0,0
D00025-02,0,0,1,0,0,0,0,0,0,0,0
D00025-03,0,0,1,0,0,0,0,0,0,0,0
D00026-01,0,0,0,0,1,0,0,0,0,0,0
D00027-01,1,0,0,0,0,0,0,0,0,0,0
D00028-01,1,0,0,0,0,0,0,0,0,0,0
D00028-03,0,0,0,0,1,0,0,0,0,0,0
D00028-04,0,0,1,0,0,0,0,0,0,0,0
D00028-05,0,0,0,0,0,0,0,1,0,0,0
D00029-01,0,0,1,0,0,0,0,0,0,0,0
D00029-02,0,0,1,0,0,0,0,0,0,0,0
D00029-03,0,0,1,0,0,0,0,0,0,0,0
D00029-04,0,0,1,0,0,0,0,0,0,0,0
D00032-01,0,0,0,0,0,0,0,0,0,0,1
D00036-01,0,0,1,0,0,0,0,0,0,0,0
D00039-01,0,0,1,0,0,0,0,0,0,0,0
D00044-01,1,0,0,0,0,0,0,0,0,0,0
D00046-01,1,0,0,0,0,0,0,0,0,0,0
D00049-01,0,0,0,1,0,0,0,0,0,0,0
D00050-02,0,0,0,1,0,0,0,0,0,0,0
D00051-05,0,0,0,1,0,0,0,0,0,0,0
D00052-02,0,0,0,0,1,0,0,0,0,0,0
D00053-02,0,0,0,1,0,0,0,0,0,0,0
D00054-01,1,0,0,0,0,0,0,0,0,0,0
D00054-02,0,0,0,0,0,0,0,1,0,0,0
D00054-03,0,0,0,0,0,0,0,1,0,0,0
D00054-04,0,0,0,0,0,0,0,1,0,0,0
D00054-05,0,0,0,0,0,0,0,1,0,0,0
D00056-01,0,0,0,1,0,0,0,0,0,0,0
D00056-02,0,0,0,0,1,0,0,0,0,0,0
D00056-03,0,0,0,1,0,0,0,0,0,0,0
D00057-01,0,0,0,0,1,0,0,0,0,0,0
D00057-02,0,0,0,1,0,0,0,0,0,0,0
D00058-03,0,0,0,0,0,0,1,0,0,0,0
D00059-01,0,0,0,0,0,0,1,0,0,0,0
D00059-02,0,0,0,0,0,0,1,0,0,0,0
D00060-04,1,0,0,0,0,0,0,0,0,0,0
D00061-01,0,0,0,0,0,0,0,0,0,0,1
D00061-02,0,0,0,0,0,0,0,0,0,0,1
