specimen,shannon,inv_simpson,bwpd,phylo_entropy,quadratic,unrooted_pd,rooted_pd
A00023-21,1.0,1.0,0.0,-0.0,0.0,0.0,2.23932
A00023-22,1.0,1.0,0.0,-0.0,0.0,0.0,2.79007
A00023-27,1.78732,1.72087,3.9918,1.38345,0.99795,3.9918,4.37822
A00024-07,1.0,1.0,0.0,-0.0,0.0,0.0,1.84129
A00024-15,4.82462,3.06499,2.93853,2.86911,1.2283,12.2945,12.457
A00024-22,5.43302,3.51569,2.8918,2.82114,1.19273,12.1641,12.3266
A00024-25,1.0,1.0,0.0,-0.0,0.0,0.0,1.57181
A00024-29,1.0,1.0,0.0,-0.0,0.0,0.0,1.12332
A00024-31,1.0,1.0,0.0,-0.0,0.0,0.0,2.57517
A00025-14,1.0,1.0,0.0,-0.0,0.0,0.0,2.01187
A00025-16,1.0,1.0,0.0,-0.0,0.0,0.0,1.3704
A00025-24,1.0,1.0,0.0,-0.0,0.0,0.0,1.81316
A00025-25,3.4328,2.77114,2.4565,1.8271,0.946807,5.69384,5.85637
A00026-06,6.59891,3.47947,2.68208,3.11993,1.17825,17.2349,17.3974
A00026-07,1.85308,1.80169,3.98313,1.38045,0.995783,3.98313,4.22946
A00026-08,1.0,1.0,0.0,-0.0,0.0,0.0,2.33876
A00026-09,4.50645,3.10003,3.44354,2.87497,1.29362,12.4778,12.6404
A00026-11,2.08189,1.90401,1.97882,1.01871,0.659607,2.96823,3.13076
A00026-13,2.56991,2.31767,4.51938,2.34573,1.41293,6.78405,6.9888
A00026-17,8.83239,4.05551,3.00708,3.80012,1.31429,31.2105,31.3731
A00026-24,1.46218,1.37753,2.78582,0.965493,0.696456,2.78582,3.93416
A00026-31,3.28009,2.85896,2.55561,1.71094,0.936543,4.93673,5.09926
A00027-03,1.0,1.0,0.0,-0.0,0.0,0.0,1.60859
A00027-04,2.90582,2.54558,3.49609,2.10525,1.19828,6.09017,6.29491
A00027-20,1.0,1.0,0.0,-0.0,0.0,0.0,1.46723
A00027-21,1.0,1.0,0.0,-0.0,0.0,0.0,1.12396
A00027-23,1.0,1.0,0.0,-0.0,0.0,0.0,0.472414
A00028-02,1.87119,1.82475,3.05955,1.06036,0.764889,3.05955,3.22209
A00028-08,1.0,1.0,0.0,-0.0,0.0,0.0,1.00951
A00028-09,1.0,1.0,0.0,-0.0,0.0,0.0,1.53566
A00028-10,1.56211,1.47437,1.91731,0.664488,0.479327,1.91731,2.44842
A00028-12,1.33813,1.266,1.66458,0.576901,0.416146,1.66458,2.81292
A00028-22,7.7747,3.97819,2.83175,3.41218,1.24554,20.2371,20.3997
A00028-23,2.80615,2.41539,2.31825,1.50411,0.854214,4.51546,4.58156
A00028-24,1.60718,1.52038,2.30495,0.798834,0.576237,2.30495,2.83606
A00028-26,1.87356,1.82779,3.93656,1.36431,0.984139,3.93656,4.1413
A00029-03,1.86716,1.81959,3.72039,1.28939,0.930097,3.72039,3.92513
A00029-06,1.0,1.0,0.0,-0.0,0.0,0.0,1.36862
A00029-10,1.0,1.0,0.0,-0.0,0.0,0.0,1.74647
A00029-18,1.0,1.0,0.0,-0.0,0.0,0.0,2.73107
A00029-19,1.87988,1.83595,4.17314,1.4463,1.04328,4.17314,4.37788
A00029-25,3.37929,2.96034,2.8885,1.98222,1.07799,5.73542,5.89795
A00029-26,4.42427,4.0225,4.01346,3.1418,1.58748,9.80978,9.80978
A00029-28,4.03137,3.10332,3.06519,2.47022,1.20093,8.4139,8.57644
A00029-35,2.92594,2.48983,2.77092,1.80479,1.00588,5.2761,5.48084
A00030-22,1.89503,1.85567,3.85427,1.33579,0.963568,3.85427,4.01681
A00030-31,1.0,1.0,0.0,-0.0,0.0,0.0,1.4451
A00031-06,1.0,1.0,0.0,-0.0,0.0,0.0,1.4467
A00031-09,1.0,1.0,0.0,-0.0,0.0,0.0,1.43371
A00031-30,2.78866,2.71398,2.45379,1.32825,0.817929,3.68068,3.68068
A00032-04,1.0,1.0,0.0,-0.0,0.0,0.0,1.52266
A00032-06,1.87455,1.82906,3.97212,1.37663,0.993029,3.97212,4.17686
A00032-12,1.0,1.0,0.0,-0.0,0.0,0.0,1.68483
A00032-24,1.84821,1.79554,3.18646,1.10434,0.796614,3.18646,3.3912
A00032-30,1.0,1.0,0.0,-0.0,0.0,0.0,1.6055
A00033-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.73581
A00033-14,2.8965,2.55792,3.76548,2.22004,1.2714,6.40569,6.61043
A00033-17,1.0,1.0,0.0,-0.0,0.0,0.0,1.60376
A00033-19,1.73217,1.65643,2.95312,1.02347,0.738279,2.95312,3.33953
A00033-20,1.0,1.0,0.0,-0.0,0.0,0.0,1.62723
A00034-03,4.01781,2.81982,3.31368,2.82989,1.3132,10.5101,10.7149
A00034-04,2.37566,2.17117,2.41961,1.29376,0.806537,3.62942,3.79195
A00034-07,2.65582,2.46446,2.89755,1.58759,0.965849,4.34632,4.50885
A00034-08,1.83588,1.78011,2.90539,1.00693,0.726349,2.90539,3.11014
A00034-09,1.0,1.0,0.0,-0.0,0.0,0.0,1.51129
A00034-10,1.0,1.0,0.0,-0.0,0.0,0.0,1.77796
A00034-16,1.0,1.0,0.0,-0.0,0.0,0.0,1.68525
A00034-19,1.0,1.0,0.0,-0.0,0.0,0.0,1.31929
A00034-20,1.0,1.0,0.0,-0.0,0.0,0.0,2.76449
A00034-29,3.0421,2.59267,2.9426,1.96574,1.08539,5.7405,5.94524
A00034-33,1.0,1.0,0.0,-0.0,0.0,0.0,1.95478
A00035-03,1.86107,1.81182,2.80469,0.97203,0.701171,2.80469,2.96722
A00035-08,1.0,1.0,0.0,-0.0,0.0,0.0,2.11458
A00035-09,1.0,1.0,0.0,-0.0,0.0,0.0,2.72018
A00035-10,1.0,1.0,0.0,-0.0,0.0,0.0,1.58195
A00035-12,1.0,1.0,0.0,-0.0,0.0,0.0,1.70621
A00035-16,1.0,1.0,0.0,-0.0,0.0,0.0,1.94995
A00036-02,4.40507,3.46476,3.42964,2.82836,1.35696,9.60596,9.7685
A00036-03,1.0,1.0,0.0,-0.0,0.0,0.0,1.5678
A00036-05,1.0,1.0,0.0,-0.0,0.0,0.0,1.51258
A00036-08,1.80556,1.74284,2.36563,0.819866,0.591408,2.36563,2.57037
A00036-11,1.86238,1.81348,2.83539,0.982672,0.708848,2.83539,2.99793
A00036-19,1.53688,1.44928,1.73311,0.60065,0.433277,1.73311,2.26422
A00036-21,1.83653,1.78092,2.91921,1.01172,0.729802,2.91921,3.12395
A00036-26,1.0,1.0,0.0,-0.0,0.0,0.0,1.31011
A00037-02,1.84001,1.78526,2.99476,1.0379,0.74869,2.99476,3.1995
A00037-04,1.59825,1.51114,2.22126,0.76983,0.555315,2.22126,2.75237
A00037-06,1.0,1.0,0.0,-0.0,0.0,0.0,1.48451
A00037-07,1.0,1.0,0.0,-0.0,0.0,0.0,1.6158
A00037-10,3.11419,2.4237,2.96607,2.19832,1.13675,6.79419,7.1806
A00037-15,1.0,1.0,0.0,-0.0,0.0,0.0,1.58832
A00038-01,1.51751,1.43032,1.72607,0.598211,0.431518,1.72607,2.29734
A00038-03,1.0,1.0,0.0,-0.0,0.0,0.0,2.47342
A00039-02,1.0,1.0,0.0,-0.0,0.0,0.0,2.25988
A00039-07,3.74937,2.94161,3.08613,2.37842,1.18787,7.94724,8.10978
A00039-08,1.0,1.0,0.0,-0.0,0.0,0.0,1.50122
A00039-09,1.66729,1.58417,2.98448,1.03434,0.746119,2.98448,3.51559
A00039-10,1.85915,1.80937,2.7603,0.956647,0.690075,2.7603,2.92283
A00039-12,1.65449,1.57034,2.05174,0.71108,0.512935,2.05174,2.43816
B00001-01,1.05303,1.03872,0.336029,0.116459,0.0840074,0.336029,2.42182
B00003-01,1.08247,1.048,0.282012,0.163719,0.0946277,0.525645,2.42638
B00004-01,1.11864,1.08799,0.697463,0.241722,0.174366,0.697463,2.50481
B00005-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.44943
B00006-01,1.05705,1.04374,0.242784,0.119918,0.090586,0.481903,2.34191
B00007-01,1.06025,1.04406,0.333196,0.115477,0.0832989,0.333196,2.14055
B00008-01,1.05908,1.04319,0.326347,0.113103,0.0815868,0.326347,2.1337
B00009-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.24722
B00010-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.93066
B00011-01,1.06164,1.04509,0.341386,0.118315,0.0853466,0.341386,2.14874
B00012-01,1.14943,1.10923,0.549647,0.263466,0.186284,0.879705,2.31861
B00013-01,1.23704,1.11864,0.564365,0.42908,0.213916,2.10019,3.69353
B00014-01,1.84805,1.79534,2.52661,0.875655,0.631652,2.52661,2.68914
B00016-01,1.07819,1.05572,0.314572,0.165418,0.11597,0.613188,2.47319
B00017-01,1.229,1.14924,0.879747,0.43772,0.275653,1.41315,3.00649
B00018-01,1.12707,1.0706,0.346053,0.250114,0.137879,0.858356,2.66571
B00019-01,1.9478,1.63694,2.27523,1.41934,0.828365,5.32625,5.71267
B00021-01,1.0775,1.05242,0.315747,0.157744,0.105249,0.473621,2.37436
B00024-01,3.17617,2.61953,2.97918,2.07197,1.10844,6.44725,6.65199
B00028-01,1.01727,1.01061,0.0641268,0.034863,0.0213756,0.0961902,2.099
B00029-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.11228
B00031-01,2.65657,2.22832,3.62282,2.14735,1.21151,6.4853,6.87172
B00033-01,1.20327,1.11523,0.644208,0.362706,0.202521,1.65753,3.25087
B00034-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.0946
B00035-01,1.02451,1.0163,0.103763,0.0494887,0.0327819,0.170676,2.14371
B00036-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.67933
B00037-01,1.07342,1.04151,0.203795,0.142827,0.0803532,0.554011,2.36136
B00038-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.30078
B00040-01,1.07484,1.03067,0.136128,0.147705,0.0608901,0.662274,2.60697
B00041-01,2.33269,1.63331,1.79866,1.54198,0.705873,8.52934,8.91575
B00042-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.93619
B00043-01,2.86503,2.00835,2.20682,1.83669,0.876093,7.95889,8.16363
B00045-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.63836
C00001-01,3.49063,2.48983,3.5201,2.61691,1.25261,13.5953,13.8001
C00001-02,1.32474,1.19172,0.877569,0.551681,0.315606,2.20761,3.30701
C00001-03,2.62146,2.18986,2.40547,1.52566,0.860164,4.73838,4.90091
C00002-01,3.08926,2.54458,3.38274,2.16112,1.16303,7.9161,8.12084
C00003-01,7.3079,4.03441,2.79831,3.07195,1.16167,19.2812,19.2812
C00003-02,5.83529,3.33869,2.77963,2.73823,1.08739,17.1094,17.272
C00004-01,1.02719,1.01674,0.0585793,0.036889,0.022635,0.140824,1.45731
C00004-02,1.27425,1.22014,1.28668,0.648134,0.482503,2.57335,3.67276
C00005-01,3.82213,2.35025,2.19785,1.9985,0.856316,11.7305,11.893
C00005-02,1.29465,1.20679,0.768979,0.363911,0.241474,1.09597,2.03487
C00006-01,1.5714,1.35097,0.884952,0.624606,0.359024,2.65779,3.0442
C00007-01,1.75985,1.47623,1.54599,1.10393,0.630051,4.70177,4.8643
C00008-01,4.41627,3.02183,3.11023,2.64358,1.19084,12.2115,12.374
C00008-02,2.401,2.11581,3.09694,1.71348,1.03168,5.15365,5.35839
C00009-01,6.47657,3.92551,2.96146,3.0787,1.22815,15.4262,15.5887
C00010-01,2.56523,2.18216,2.5295,1.54608,0.889096,4.78995,4.95249
C00010-02,3.49121,2.78046,3.23777,2.24496,1.14981,7.8865,8.04903
C00011-01,4.64609,3.08081,3.05152,2.78903,1.22637,13.0431,13.2057
C00011-02,2.4665,2.05366,2.90385,1.87074,1.06315,6.19311,6.39785
C00012-02,1.0,1.0,0.0,-0.0,0.0,0.0,1.35878
C00013-01,6.17743,3.30746,2.7561,2.9787,1.14124,21.8726,22.0352
C00014-01,4.22935,2.52049,2.63942,2.51146,1.05061,14.0703,14.2329
C00014-02,1.94829,1.63281,1.58462,1.05094,0.61069,3.86955,4.07429
C00015-01,3.86829,2.66203,3.8071,2.95059,1.36174,15.116,15.2785
C00016-01,3.89218,3.17159,3.40041,2.56009,1.28987,8.37127,8.53381
C00017-01,2.09882,1.59526,1.45905,1.20009,0.604018,5.8787,6.04123
C00018-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.24564
C00019-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.06184
C00020-01,1.34239,1.20301,0.541659,0.400717,0.229651,2.04082,2.42723
C00020-02,1.03173,1.01889,0.0749253,0.0481128,0.0285534,0.226381,1.68356
C00021-01,1.17301,1.09178,0.338389,0.293517,0.15463,2.6406,3.04525
C00022-01,5.56556,3.70395,3.05851,2.93633,1.24873,13.3861,13.5486
C00023-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.98046
C00024-01,4.00423,2.62047,2.75517,2.52512,1.12553,10.7116,10.9164
C00026-01,1.69892,1.48039,1.93435,1.25956,0.771198,4.80411,5.00885
C00027-01,3.05631,2.42562,3.90105,2.42634,1.27643,9.41761,9.62236
C00028-01,4.62393,3.15818,2.97309,2.65054,1.18288,10.8166,10.9792
C00028-02,3.61975,2.45524,2.81558,2.34946,1.0825,10.6553,10.86
C00029-01,1.14966,1.11186,0.80271,0.278198,0.200678,0.80271,2.39605
C00029-02,3.35476,2.56263,3.21352,2.31566,1.1666,9.95166,10.1142
C00030-01,1.00564,1.00454,0.0228477,0.00954356,0.00766345,0.0351275,1.70903
C00031-01,4.61044,3.356,2.48078,2.18735,1.00474,7.92431,8.08685
C00031-04,3.49024,2.35298,2.61502,2.1577,0.992572,11.7774,11.94
C00031-05,3.39664,3.0704,5.63517,3.72494,2.05413,10.7978,10.9604
C00032-01,8.09648,4.17818,3.07285,3.58731,1.30471,24.9158,25.0784
C00033-01,4.73652,3.25706,3.45937,3.01019,1.3412,15.1905,15.353
C00034-01,3.76159,2.75286,3.85428,2.81323,1.35208,12.2143,12.3769
C00035-01,3.65876,2.31283,2.62673,2.33599,1.02224,11.0734,11.2359
C00036-01,1.71794,1.54177,1.74661,0.963449,0.625645,3.45405,3.61658
C00036-02,3.59849,2.87307,4.14475,2.90508,1.47904,10.2905,10.453
C00037-01,1.81086,1.54294,1.92971,1.1889,0.704543,4.39946,4.78587
C00038-01,5.40805,3.39433,2.64417,2.54424,1.06327,13.443,13.6056
C00039-02,2.30216,1.9463,2.31858,1.41958,0.827737,4.55025,4.71278
C00040-01,5.04503,3.61892,2.47801,2.28534,1.0219,8.44396,8.60649
C00040-02,1.0,1.0,0.0,-0.0,0.0,0.0,2.29228
C00041-01,5.76437,3.51184,2.79709,2.85107,1.16414,13.7616,13.9241
C00042-01,5.53609,3.67714,3.14928,3.02174,1.28557,15.2441,15.4067
C00042-02,5.4648,2.86974,2.92246,3.0807,1.18186,24.2199,24.3825
C00043-01,2.87283,2.13306,2.31353,1.76787,0.889865,6.34902,6.51155
C00043-02,1.0,1.0,0.0,-0.0,0.0,0.0,2.01491
C00044-01,3.46014,2.46936,2.92775,2.35091,1.12693,9.84166,10.0042
C00045-01,4.23995,2.90886,2.59845,2.24146,1.01823,9.53163,9.69417
C00046-01,1.1984,1.10909,0.609658,0.351213,0.190868,1.68004,3.27339
C00046-02,3.40969,2.695,2.56872,1.97506,1.0127,6.23695,6.39948
C00047-01,1.86476,1.50941,1.62791,1.22872,0.665469,5.38382,5.54635
C00048-01,5.40526,3.108,3.11356,3.13479,1.26004,19.2259,19.3884
C00049-01,3.42609,2.41956,2.67737,2.00875,0.957054,8.75676,8.9193
C00050-01,3.08234,2.27307,2.67891,1.96123,0.975774,7.19573,7.35826
C00051-01,2.21814,1.80662,2.1844,1.40957,0.789971,4.88038,5.26679
C00052-01,1.49282,1.34818,1.08496,0.630788,0.406591,2.16777,2.73904
C00053-01,1.02654,1.01615,0.0982904,0.053991,0.0327635,0.147436,2.1593
C00054-01,2.52195,2.24942,2.87789,1.51422,0.909222,4.39589,4.55843
C00054-02,2.96141,2.23298,3.03149,2.16065,1.0989,8.09356,8.2983
C00054-03,1.23946,1.15675,0.844748,0.446103,0.281583,1.26712,2.86046
C00055-01,5.33499,3.59103,3.43609,3.18858,1.3741,15.2042,15.3667
C00056-01,6.20047,3.51664,2.75189,2.95614,1.15943,18.1438,18.3063
C00056-02,3.24549,2.6863,3.88997,2.51424,1.34064,8.73423,8.89677
C00057-01,2.42789,2.05358,3.62448,1.99271,1.15256,6.94179,7.14654
C00058-01,9.6796,4.28619,2.77423,3.53796,1.19493,38.0977,38.2602
C00059-01,7.21887,4.06059,3.04562,3.39887,1.29601,21.0987,21.2612
C00059-02,2.89887,2.41664,2.7476,1.7543,0.966224,5.61857,5.7811
C00060-01,5.25868,3.90564,3.34437,3.0093,1.34877,12.2314,12.2314
C00061-01,5.01229,3.28092,3.38779,3.14192,1.3551,14.9472,15.1097
C00061-02,4.57085,2.9005,3.52459,3.12454,1.34717,18.2838,18.4463
C00061-03,4.61577,2.71788,2.8448,2.73096,1.12858,14.287,14.4495
C00061-04,3.72543,2.30428,2.89238,2.52046,1.08474,16.5688,16.7313
C00062-01,1.08954,1.05317,0.412376,0.231744,0.136433,0.679085,3.16139
C00062-02,3.10156,2.4735,3.79086,2.38806,1.25682,8.65433,8.85907
C00062-03,1.51245,1.31652,1.44723,1.04419,0.606785,5.64037,5.84511
